Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty
TCS,EQ,2013-01-01,1255.85,1266.95,1267.9,1260.0,1262.3,1264.15,1264.08,254790.0,322075423.15,9785.0,113202.0
TCS,EQ,2013-01-02,1264.15,1267.0,1272.4,1255.55,1262.95,1263.3,1264.24,940123.0,1188537322.75,48187.0,665776.0
TCS,EQ,2013-01-03,1263.3,1265.0,1284.0,1259.95,1282.9,1280.6,1276.67,1317565.0,1682101112.85,42033.0,895300.0
TCS,EQ,2013-01-04,1280.6,1285.0,1301.0,1280.9,1299.0,1299.2,1292.63,2614380.0,3379416657.4,69757.0,2071641.0
TCS,EQ,2013-01-07,1299.2,1300.0,1304.0,1290.25,1295.0,1294.85,1296.12,910376.0,1179960935.0,51121.0,712236.0
TCS,EQ,2013-01-08,1294.85,1295.0,1304.3,1294.3,1300.5,1300.25,1299.83,1170935.0,1522020959.55,70267.0,897889.0
TCS,EQ,2013-01-09,1300.25,1301.0,1307.4,1273.15,1277.0,1276.6,1284.34,1567949.0,2013777948.85,59377.0,1254975.0
TCS,EQ,2013-01-10,1276.6,1279.9,1282.1,1255.3,1269.0,1258.4,1265.53,2261419.0,2861903596.25,118083.0,1785259.0
TCS,EQ,2013-01-11,1258.4,1290.0,1322.5,1290.0,1305.8,1306.35,1305.15,3902503.0,5093369459.2,110429.0,2486219.0
TCS,EQ,2013-01-14,1306.35,1319.0,1348.45,1307.35,1335.6,1334.5,1333.24,2895112.0,3859884092.1,102268.0,990412.0
TCS,EQ,2013-01-15,1334.5,1390.0,1400.0,1327.0,1338.05,1337.45,1364.59,4131489.0,5637774537.15,143245.0,1438302.0
TCS,EQ,2013-01-16,1337.45,1336.9,1355.0,1309.0,1344.9,1347.75,1334.25,2054746.0,2741536392.1,101943.0,956837.0
TCS,EQ,2013-01-17,1347.75,1349.7,1371.8,1343.0,1360.75,1362.0,1362.88,1514272.0,2063776655.25,64029.0,910420.0
TCS,EQ,2013-01-18,1362.0,1362.5,1366.05,1338.05,1350.95,1351.0,1352.62,720235.0,974202808.25,27725.0,437321.0
TCS,EQ,2013-01-21,1351.0,1352.5,1354.9,1327.1,1330.8,1330.0,1335.87,630019.0,841624091.25,28024.0,386965.0
TCS,EQ,2013-01-22,1330.0,1326.0,1331.7,1308.1,1314.8,1317.5,1323.02,693315.0,917268599.3,21665.0,395165.0
TCS,EQ,2013-01-23,1317.5,1315.75,1323.75,1298.4,1312.0,1311.95,1309.1,938827.0,1229018649.6,45834.0,597117.0
TCS,EQ,2013-01-24,1311.95,1305.0,1336.9,1305.0,1330.0,1328.55,1329.53,1749235.0,2325668647.5,43901.0,1403324.0
TCS,EQ,2013-01-25,1328.55,1323.75,1345.0,1323.75,1343.0,1340.5,1339.87,760550.0,1019039124.2,32918.0,527076.0
TCS,EQ,2013-01-28,1340.5,1340.3,1349.95,1337.95,1345.15,1345.05,1345.16,1214077.0,1633131850.2,25501.0,1054126.0
TCS,EQ,2013-01-29,1345.05,1341.2,1356.55,1340.3,1343.55,1344.95,1347.29,865902.0,1166622532.95,30894.0,679470.0
TCS,EQ,2013-01-30,1344.95,1341.0,1349.85,1335.8,1342.0,1346.15,1345.73,1139572.0,1533551208.15,38454.0,1024786.0
TCS,EQ,2013-01-31,1346.15,1348.85,1352.45,1326.4,1343.1,1344.15,1344.12,2156584.0,2898699643.6,46346.0,1903884.0
TCS,EQ,2013-02-01,1344.15,1344.0,1352.0,1342.15,1347.9,1348.1,1348.12,742270.0,1000669689.55,22910.0,607667.0
TCS,EQ,2013-02-04,1348.1,1349.0,1367.8,1345.15,1352.0,1356.35,1356.73,1243652.0,1687301551.35,47857.0,908951.0
TCS,EQ,2013-02-05,1356.35,1345.1,1365.0,1345.1,1361.15,1360.05,1360.1,1080997.0,1470264310.35,43720.0,891111.0
TCS,EQ,2013-02-06,1360.05,1362.5,1375.9,1362.0,1368.0,1370.55,1367.7,1786853.0,2443883403.85,33018.0,1562120.0
TCS,EQ,2013-02-07,1370.55,1361.0,1390.0,1361.0,1386.0,1387.15,1380.15,1306391.0,1803012810.3,51837.0,1013478.0
TCS,EQ,2013-02-08,1387.15,1386.0,1437.0,1385.1,1418.1,1422.6,1419.74,3486809.0,4950367617.65,80670.0,2663305.0
TCS,EQ,2013-02-11,1422.6,1424.0,1428.9,1412.25,1413.0,1414.7,1417.33,1156063.0,1638526888.0,43496.0,886168.0
TCS,EQ,2013-02-12,1414.7,1409.05,1415.0,1401.85,1410.0,1410.05,1409.96,1112751.0,1568931224.1,41780.0,948969.0
TCS,EQ,2013-02-13,1410.05,1409.8,1441.65,1405.1,1433.5,1435.4,1435.36,1911333.0,2743448325.95,68164.0,1457054.0
TCS,EQ,2013-02-14,1435.4,1430.1,1455.8,1429.0,1444.65,1447.7,1448.9,1473479.0,2134921397.8,43194.0,1120153.0
TCS,EQ,2013-02-15,1447.7,1444.0,1451.8,1430.65,1440.0,1442.15,1444.23,910395.0,1314816615.8,44877.0,678364.0
TCS,EQ,2013-02-18,1442.15,1440.1,1441.9,1420.0,1421.45,1425.35,1428.73,476043.0,680138679.95,17301.0,295060.0
TCS,EQ,2013-02-19,1425.35,1421.6,1448.9,1412.7,1445.3,1443.55,1431.43,372147.0,532703955.25,22479.0,151275.0
TCS,EQ,2013-02-20,1443.55,1441.5,1457.0,1441.5,1450.0,1452.8,1452.73,1130759.0,1642686705.45,30950.0,870922.0
TCS,EQ,2013-02-21,1452.8,1440.7,1456.85,1440.7,1450.85,1451.05,1450.87,1924573.0,2792296665.15,32323.0,1696826.0
TCS,EQ,2013-02-22,1451.05,1450.0,1464.05,1442.3,1456.5,1455.1,1454.89,655347.0,953455933.4,40970.0,394452.0
TCS,EQ,2013-02-25,1455.1,1453.0,1475.0,1451.5,1475.0,1473.7,1469.46,865015.0,1271104108.75,61029.0,605940.0
TCS,EQ,2013-02-26,1473.7,1467.0,1499.95,1466.0,1499.5,1496.4,1487.03,1426835.0,2121744401.8,72921.0,1063138.0
TCS,EQ,2013-02-27,1496.4,1495.25,1503.05,1477.3,1483.0,1483.2,1485.18,1278341.0,1898561102.75,60897.0,1027086.0
TCS,EQ,2013-02-28,1483.2,1486.25,1525.0,1485.25,1520.7,1517.0,1507.97,2299712.0,3467898357.6,82632.0,1551643.0
TCS,EQ,2013-03-01,1517.0,1515.1,1516.0,1498.0,1498.1,1501.85,1502.52,1268663.0,1906193515.6,70071.0,909350.0
TCS,EQ,2013-03-04,1501.85,1491.0,1519.9,1491.0,1519.9,1513.2,1507.13,1568038.0,2363233913.1,89306.0,1182136.0
TCS,EQ,2013-03-05,1513.2,1517.0,1543.0,1508.6,1539.85,1540.15,1533.97,1720027.0,2638469406.8,61511.0,1315397.0
TCS,EQ,2013-03-06,1540.15,1536.15,1565.5,1536.15,1565.5,1561.2,1551.3,1149755.0,1783616082.35,46422.0,823184.0
TCS,EQ,2013-03-07,1561.2,1561.0,1597.6,1559.35,1589.7,1589.9,1583.32,1954351.0,3094372713.55,108998.0,1349835.0
TCS,EQ,2013-03-08,1589.9,1590.0,1595.65,1574.9,1582.35,1583.15,1582.78,2170751.0,3435827668.95,106027.0,1680779.0
TCS,EQ,2013-03-11,1583.15,1575.0,1589.55,1556.65,1560.5,1566.2,1569.85,1110665.0,1743572634.7,46656.0,791196.0
TCS,EQ,2013-03-12,1566.2,1558.0,1567.95,1548.0,1564.1,1560.5,1554.8,904726.0,1406664626.8,29418.0,551028.0
TCS,EQ,2013-03-13,1560.5,1556.05,1558.7,1548.0,1552.9,1551.7,1551.46,897248.0,1392040590.65,31687.0,611512.0
TCS,EQ,2013-03-14,1551.7,1557.0,1577.0,1543.8,1567.65,1567.7,1556.11,1525609.0,2374011174.0,49526.0,1116506.0
TCS,EQ,2013-03-15,1567.7,1572.0,1580.4,1560.6,1567.25,1570.25,1571.37,2106199.0,3309615937.45,73258.0,1385434.0
TCS,EQ,2013-03-18,1570.25,1559.85,1573.65,1554.4,1568.0,1566.95,1564.93,847494.0,1326269845.25,32094.0,630660.0
TCS,EQ,2013-03-19,1566.95,1564.5,1564.5,1540.45,1541.9,1546.75,1548.47,1869955.0,2895560617.05,36839.0,1510704.0
TCS,EQ,2013-03-20,1546.75,1540.0,1572.65,1539.95,1562.0,1557.65,1557.99,2084068.0,3246947975.25,92043.0,1549547.0
TCS,EQ,2013-03-21,1557.65,1563.0,1574.4,1553.7,1566.8,1559.95,1565.67,832302.0,1303109149.0,66473.0,516107.0
TCS,EQ,2013-03-22,1559.95,1561.4,1562.1,1532.0,1534.0,1542.15,1546.93,1357228.0,2099535566.1,47896.0,1034216.0
TCS,EQ,2013-03-25,1542.15,1548.5,1552.0,1528.4,1547.0,1543.35,1541.92,928658.0,1431916781.3,44079.0,668814.0
TCS,EQ,2013-03-26,1543.35,1540.1,1570.0,1536.15,1559.0,1556.35,1557.67,890768.0,1387522016.5,40015.0,519995.0
TCS,EQ,2013-03-28,1556.35,1556.0,1583.4,1541.65,1571.95,1575.75,1561.68,1532831.0,2393788393.7,66151.0,1111566.0
TCS,EQ,2013-04-01,1575.75,1565.0,1573.7,1551.25,1552.1,1556.85,1561.62,484406.0,756459959.7,19638.0,256578.0
TCS,EQ,2013-04-02,1556.85,1556.0,1571.2,1541.25,1568.0,1567.35,1557.43,565166.0,880205208.7,34426.0,315900.0
TCS,EQ,2013-04-03,1567.35,1570.0,1575.0,1531.0,1545.8,1543.4,1555.41,479966.0,746543574.25,25227.0,305025.0
TCS,EQ,2013-04-04,1543.4,1540.1,1540.1,1501.0,1508.95,1507.8,1512.56,563169.0,851824854.75,27776.0,293090.0
TCS,EQ,2013-04-05,1507.8,1505.0,1509.35,1484.1,1493.25,1498.35,1496.77,932624.0,1395924269.25,59990.0,549986.0
TCS,EQ,2013-04-08,1498.35,1498.9,1498.9,1475.0,1481.05,1480.75,1481.59,448208.0,664059525.75,28530.0,251907.0
TCS,EQ,2013-04-09,1480.75,1480.0,1513.0,1477.6,1500.0,1497.4,1498.57,836177.0,1253072612.1,28130.0,475601.0
TCS,EQ,2013-04-10,1497.4,1509.9,1538.9,1501.0,1536.75,1530.45,1518.34,1023142.0,1553477093.3,54754.0,530824.0
